snr_db_target,snr_db_achieved,qc_ok,qc_reasons,n_beats_reference,n_peaks_found,abs_err_ci_lo_s,abs_err_ci_hi_s,n_beats,n_predictions,detection_rate,precision,f1,mean_abs_error_s,median_abs_error_s,bias_s,scatter_s,success_within_30ms,success_within_30ms_debiased,success_within_70ms,success_within_70ms_debiased
10.0,10.0,True,,940,1571,0.04486120420017873,0.05058199285075961,940,1570,0.7936170212765957,0.4751592356687898,0.5944223107569722,0.04776586237712244,0.03333333333333333,-0.010880250223413762,0.061623898558713114,0.45576407506702415,0.46112600536193027,0.7091152815013405,0.7198391420911529
12.0,12.0,True,,940,1408,0.04372846918971373,0.04996391314895682,940,1408,0.7308510638297873,0.48792613636363635,0.5851788756388415,0.0467976710334789,0.03333333333333333,-0.009364386220281417,0.06205912207987277,0.4963609898107715,0.49199417758369723,0.7001455604075691,0.7132459970887919
14.0,14.0,True,,940,1216,0.04296173878205129,0.049960269764957266,940,1216,0.6638297872340425,0.5131578947368421,0.5788497217068646,0.04639423076923077,0.025,-0.003952991452991453,0.06384903567907721,0.5432692307692307,0.5689102564102564,0.6923076923076923,0.6842948717948718
16.0,16.0,True,,940,1069,0.03812880044223328,0.04499792703150912,940,1069,0.6414893617021277,0.5640785781103835,0.600298656047785,0.04162520729684909,0.016666666666666666,0.004643449419568822,0.06061989381842708,0.6102819237147595,0.6301824212271974,0.7396351575456053,0.7296849087893864
18.0,18.0,True,,940,978,0.03373136315228967,0.040282547923322684,940,978,0.6659574468085107,0.6400817995910021,0.6527632950990615,0.03690095846645367,0.016666666666666666,0.008413205537806178,0.056269538171867514,0.6629392971246006,0.6501597444089456,0.7763578274760383,0.7843450479233227
20.0,20.0,True,,940,951,0.02566879562043796,0.031521289537712896,940,951,0.7287234042553191,0.7202944269190326,0.7244843997884717,0.02846715328467153,0.008333333333333333,0.004111922141119221,0.047597618602507684,0.7489051094890511,0.7649635036496351,0.8467153284671532,0.8379562043795621
22.0,22.0,True,,940,947,0.020247646923783287,0.025241333792470153,940,947,0.7723404255319148,0.7666314677930306,0.7694753577106518,0.022761707988980716,0.008333333333333333,0.0023989898989898984,0.04082111909173538,0.8085399449035813,0.8085399449035813,0.8884297520661157,0.8884297520661157
24.0,24.0,True,,940,941,0.015671746649373108,0.019779777345438822,940,941,0.8202127659574469,0.8193411264612115,0.8197767145135566,0.017574578469520104,0.008333333333333333,0.0013402507565931688,0.03370958355763678,0.8573281452658884,0.8573281452658884,0.9286640726329443,0.9286640726329443
26.0,26.0,True,,940,939,0.012176865518655185,0.015601168511685116,940,939,0.8648936170212767,0.865814696485623,0.8653539116551358,0.01380688806888069,0.008333333333333333,0.0009942599425994262,0.027937364681531032,0.8843788437884379,0.8843788437884379,0.9544895448954489,0.9544895448954489
28.0,28.0,True,,940,939,0.009789932619896947,0.01256440745144669,940,939,0.8946808510638298,0.8956336528221512,0.895156998403406,0.011177170035671818,0.008333333333333333,0.0011890606420927464,0.023550735281073217,0.9048751486325802,0.9048751486325802,0.9667063020214031,0.9667063020214031
30.0,30.0,True,,940,940,0.00790205938697318,0.010440613026819924,940,940,0.925531914893617,0.925531914893617,0.925531914893617,0.009137931034482757,0.0,0.0007662835249042145,0.021241487811612995,0.9229885057471264,0.9229885057471264,0.9735632183908046,0.9735632183908046
32.0,32.0,True,,940,939,0.006346280602636535,0.008559322033898304,940,939,0.9414893617021277,0.9424920127795527,0.9419904204364024,0.007410546139359698,0.0,0.000649717514124294,0.01850845215674366,0.9378531073446328,0.9378531073446328,0.9796610169491525,0.9796610169491525
34.0,34.0,True,,940,940,0.004992344097995546,0.006969190794357831,940,940,0.9553191489361702,0.9553191489361702,0.9553191489361702,0.005929844097995545,0.0,0.00028767631774313286,0.01588246451622939,0.9510022271714922,0.9510022271714922,0.9844097995545658,0.9844097995545658
36.0,36.0,True,,940,940,0.00388215859030837,0.005506607929515419,940,940,0.9659574468085106,0.9659574468085106,0.9659574468085106,0.004625550660792952,0.0,0.000422173274596182,0.013433878891839003,0.9625550660792952,0.9625550660792952,0.9900881057268722,0.9900881057268722
38.0,38.0,True,,940,940,0.003051443713450292,0.004541529605263157,940,940,0.9702127659574468,0.9702127659574468,0.9702127659574468,0.0037006578947368415,0.0,9.137426900584789e-06,0.011671491873377397,0.9714912280701754,0.9714912280701754,0.993421052631579,0.993421052631579
40.0,40.0,True,,940,940,0.0024897764449291165,0.003817021083242457,940,940,0.975531914893617,0.975531914893617,0.975531914893617,0.0031261359505634317,0.0,9.087604507451838e-05,0.010819906636170024,0.9749182115594329,0.9749182115594329,0.9945474372955289,0.9945474372955289
